Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Randomise questionnaire elements?,Question Key,Response
1,1719506239352,27/06/2024 16:37:19,1719506242211,1,27/06/2024 17:37:22,161157,9,questionnaire-i1ko,,38547777,BLIND,11326067,,complete,,667d950715e9458ff778c91f,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1366x768,1517x712,,,,Consent from the previous project,2,752ms,,,,visual,,No,BEGIN QUESTIONNAIRE,
2,1719506278358,27/06/2024 16:37:58,1719506281253,1,27/06/2024 17:38:01,161157,9,questionnaire-i1ko,,38547777,BLIND,11326067,,complete,,667d950715e9458ff778c91f,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1366x768,1498x712,,,,Consent from the previous project,2,752ms,,,,visual,,No,birth.date-day,0
3,1719506278431,27/06/2024 16:37:58,1719506281255,1,27/06/2024 17:38:01,161157,9,questionnaire-i1ko,,38547777,BLIND,11326067,,complete,,667d950715e9458ff778c91f,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1366x768,1498x712,,,,Consent from the previous project,2,752ms,,,,visual,,No,birth.date-month,11
4,1719506278431,27/06/2024 16:37:58,1719506281256,1,27/06/2024 17:38:01,161157,9,questionnaire-i1ko,,38547777,BLIND,11326067,,complete,,667d950715e9458ff778c91f,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1366x768,1498x712,,,,Consent from the previous project,2,752ms,,,,visual,,No,birth.date-year,49
5,1719506278431,27/06/2024 16:37:58,1719506281256,1,27/06/2024 17:38:01,161157,9,questionnaire-i1ko,,38547777,BLIND,11326067,,complete,,667d950715e9458ff778c91f,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1366x768,1498x712,,,,Consent from the previous project,2,752ms,,,,visual,,No,sex,Female
6,1719506278431,27/06/2024 16:37:58,1719506281256,1,27/06/2024 17:38:01,161157,9,questionnaire-i1ko,,38547777,BLIND,11326067,,complete,,667d950715e9458ff778c91f,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1366x768,1498x712,,,,Consent from the previous project,2,752ms,,,,visual,,No,sex-quantised,2
7,1719506278431,27/06/2024 16:37:58,1719506281257,1,27/06/2024 17:38:01,161157,9,questionnaire-i1ko,,38547777,BLIND,11326067,,complete,,667d950715e9458ff778c91f,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1366x768,1498x712,,,,Consent from the previous project,2,752ms,,,,visual,,No,sex-text,
8,1719506278431,27/06/2024 16:37:58,1719506281257,1,27/06/2024 17:38:01,161157,9,questionnaire-i1ko,,38547777,BLIND,11326067,,complete,,667d950715e9458ff778c91f,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1366x768,1498x712,,,,Consent from the previous project,2,752ms,,,,visual,,No,Consent1,1
9,1719506278431,27/06/2024 16:37:58,1719506281257,1,27/06/2024 17:38:01,161157,9,questionnaire-i1ko,,38547777,BLIND,11326067,,complete,,667d950715e9458ff778c91f,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1366x768,1498x712,,,,Consent from the previous project,2,752ms,,,,visual,,No,Consent2,1
10,1719506278431,27/06/2024 16:37:58,1719506281257,1,27/06/2024 17:38:01,161157,9,questionnaire-i1ko,,38547777,BLIND,11326067,,complete,,667d950715e9458ff778c91f,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1366x768,1498x712,,,,Consent from the previous project,2,752ms,,,,visual,,No,Consent3,1
11,1719506278431,27/06/2024 16:37:58,1719506281258,1,27/06/2024 17:38:01,161157,9,questionnaire-i1ko,,38547777,BLIND,11326067,,complete,,667d950715e9458ff778c91f,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1366x768,1498x712,,,,Consent from the previous project,2,752ms,,,,visual,,No,Consent4,1
12,1719506278431,27/06/2024 16:37:58,1719506281258,1,27/06/2024 17:38:01,161157,9,questionnaire-i1ko,,38547777,BLIND,11326067,,complete,,667d950715e9458ff778c91f,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1366x768,1498x712,,,,Consent from the previous project,2,752ms,,,,visual,,No,Consent5,1
13,1719506278431,27/06/2024 16:37:58,1719506281259,1,27/06/2024 17:38:01,161157,9,questionnaire-i1ko,,38547777,BLIND,11326067,,complete,,667d950715e9458ff778c91f,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1366x768,1498x712,,,,Consent from the previous project,2,752ms,,,,visual,,No,Consent6,1
