Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Randomise questionnaire elements?,Question Key,Response
15,1722336302439,30/07/2024 10:45:02,1722336302017,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275058,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1857x966,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,END QUESTIONNAIRE,65178
1,1722336268866,30/07/2024 10:44:28,1722336268756,1,30/07/2024 11:44:28,184566,2,questionnaire-i1ko,,39275067,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,,PIS and Consent Form,2,595ms,visual,,,,,No,BEGIN QUESTIONNAIRE,
2,1722336302743,30/07/2024 10:45:02,1722336302576,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275067,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,,PIS and Consent Form,2,595ms,visual,,,,,No,birth.date-day,18
3,1722336302809,30/07/2024 10:45:02,1722336302577,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275067,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,,PIS and Consent Form,2,595ms,visual,,,,,No,birth.date-month,7
4,1722336302809,30/07/2024 10:45:02,1722336302577,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275067,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,,PIS and Consent Form,2,595ms,visual,,,,,No,birth.date-year,29
5,1722336302809,30/07/2024 10:45:02,1722336302578,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275067,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,,PIS and Consent Form,2,595ms,visual,,,,,No,sex,Female
6,1722336302809,30/07/2024 10:45:02,1722336302578,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275067,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,,PIS and Consent Form,2,595ms,visual,,,,,No,sex-quantised,2
7,1722336302809,30/07/2024 10:45:02,1722336302578,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275067,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,,PIS and Consent Form,2,595ms,visual,,,,,No,sex-text,
8,1722336302809,30/07/2024 10:45:02,1722336302578,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275067,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,,PIS and Consent Form,2,595ms,visual,,,,,No,Consent1,1
9,1722336302809,30/07/2024 10:45:02,1722336302578,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275067,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,,PIS and Consent Form,2,595ms,visual,,,,,No,Consent2,1
10,1722336302809,30/07/2024 10:45:02,1722336302578,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275067,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,,PIS and Consent Form,2,595ms,visual,,,,,No,Consent3,1
11,1722336302809,30/07/2024 10:45:02,1722336302578,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275067,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,,PIS and Consent Form,2,595ms,visual,,,,,No,Consent4,1
12,1722336302809,30/07/2024 10:45:02,1722336302578,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275067,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,,PIS and Consent Form,2,595ms,visual,,,,,No,Consent5,1
13,1722336302809,30/07/2024 10:45:02,1722336302578,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275067,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,,PIS and Consent Form,2,595ms,visual,,,,,No,Consent6,1
14,1722336302809,30/07/2024 10:45:02,1722336302578,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275067,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,,PIS and Consent Form,2,595ms,visual,,,,,No,Consent7,1
15,1722336302809,30/07/2024 10:45:02,1722336302579,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275067,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,,PIS and Consent Form,2,595ms,visual,,,,,No,END QUESTIONNAIRE,33823
